ClientNumber,MatterNumber,CompletionDate,DateProcessed,DeduplicatedFileSizeGB,NumberofFilesDeduplicated,TotalDocumentsPostFiltering,TotalGBPostFiltering,TotalGBPreExpansion,TicketNumber,CustodianID
902296,356992,2013-09-17 18:00:00.000,2013-09-17 19:20:28.290,0.000,0,8,0.010,0.010,953016,NULL
902296,356992,NULL,2013-09-21 15:20:53.607,0.000,0,10,0.001,0.001,210034,NULL
640974,774272,2013-10-09 10:10:00.000,2013-09-23 16:43:47.140,0.000,0,103,0.061,0.036,637183,NULL
640974,774272,2013-10-09 10:10:00.000,2013-09-23 16:43:47.140,0.000,0,103,0.061,0.036,637183,553414
902296,356992,2013-09-24 18:00:00.000,2013-09-24 21:53:02.450,0.000,0,7,0.033,0.033,1005261,NULL
902296,356992,2013-09-25 17:00:00.000,2013-09-25 17:04:31.557,0.000,0,15,0.075,0.075,942777,753281
799642,396480,2013-10-01 12:00:00.000,2013-10-01 00:40:24.130,0.100,1233,5237,1.389,1.196,873467,748645
948819,903168,2014-07-01 23:59:00.000,2013-10-06 17:46:43.233,6.221,157645,1725762,58.407,30.571,370182,930447
263721,277312,2013-10-07 15:59:00.000,2013-10-07 17:55:22.563,0.000,0,25,0.007,0.004,613292,354902
51509,653952,2013-10-08 09:00:00.000,2013-10-07 19:55:10.447,0.539,3202,4503,1.102,0.904,918886,1018051
270788,988416,2013-10-21 08:00:00.000,2013-10-20 23:04:31.223,0.623,3505,19575,4.295,2.599,960892,108262
902296,356992,2013-10-22 12:51:00.000,2013-10-22 17:52:10.123,0.000,0,5,0.011,0.011,155426,NULL
632593,159680,NULL,2013-10-23 15:07:57.643,0.000,0,3,0.001,0.001,23632,930447
902296,356992,2013-10-27 14:00:00.000,2013-10-27 17:50:38.627,0.000,0,1,0.010,0.010,947240,NULL
994638,51136,2013-11-02 15:00:00.000,2013-11-02 19:15:23.923,0.000,0,523,1.901,1.898,999485,NULL
507236,473728,2013-11-06 12:00:00.000,2013-11-05 22:24:38.960,0.000,0,5045,2.455,2.443,374645,778189
854404,774272,2013-11-11 00:00:00.000,2013-11-10 14:00:44.863,0.000,0,3075,0.588,0.369,985833,489715
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,696,4.187,4.187,58812,857463
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,9,0.002,0.002,58812,255001
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,6,0.000,0.000,58812,387374
333274,75136,2013-11-11 15:00:00.000,2013-11-11 18:07:21.207,0.000,0,6,0.001,0.001,58812,905226
83597,425408,2013-11-12 14:00:00.000,2013-11-12 00:05:24.127,0.000,0,14,0.005,0.005,548445,NULL
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,12,1.416,1.416,176954,832080
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,8,0.011,0.011,176954,638652
271641,755456,2013-11-13 15:00:00.000,2013-11-12 21:14:31.913,0.000,0,4,0.036,0.036,176954,491193
632593,159680,2013-11-13 16:00:00.000,2013-11-12 22:09:20.603,0.000,0,3,0.025,0.025,51986,NULL
961653,356992,2013-11-13 16:00:00.000,2013-11-12 22:13:35.327,0.000,0,4,0.002,0.002,545032,103960
83597,425408,2013-11-13 16:00:00.000,2013-11-12 23:59:05.383,0.000,0,2,0.000,0.000,1038078,NULL
892947,653952,2013-11-18 14:00:00.000,2013-11-16 16:41:03.620,5.904,3286,10033,22.436,28.284,847213,817895
892947,653952,2013-11-18 14:00:00.000,2013-11-16 16:41:03.620,0.003,1,35,0.080,0.083,847213,838414
83597,425408,2013-11-16 10:23:00.000,2013-11-16 17:25:25.637,0.000,0,66,0.013,0.012,784729,NULL
